,wenzhang_comment
459,哎，祝你们各自幸福 
460,回复@你老公叫仙洋么:我们也一如既往的追你哟！ 
461,回复@你老公叫仙洋么:洋，阿，我们也爱你！ 
462,不忘初心，继续前行，做好演员！ 
463,你本来很优秀自毁前程，最终还是本性不改抛妻弃子 
464,回复@你老公叫仙洋么: 
465,回复@你老公叫仙洋么:哈哈 
466,回复@你老公叫仙洋么:皮皮洋，爱你哟 
467,这一次马伊琍又怎么你了 
468,回复@你老公叫仙洋么:爱你哟～ 
469,不行 我不允许 我心痛了 
470,新浪微博程序猿
471,破镜怎么能重圆，都是自己骗自己，放过彼此，从头开始，所以说人在犯错的时候一定要好好想清楚值不值得，显然你这个很不值得呀！ 
472,回复@王阿豪w:让章娶你好了，这是真爱啊 
473,咋感觉你又要挨骂呢 
474,有情有义就是好前夫，演技绝对没得说，中国好演员，只不过现在资源不那么多，希望快走出去，有更好的作品，在百姓里，你还是好演员 
475,各自安好 永远爱你 
476,无论如何，我还是喜欢文章，因为从小你就是我的男神 偶像 榜样 ，加油！以后好好的。 
477,好聚好散 
478,换一种关系未必是一件坏事。。对彼此，对子女，也是一个新的开始。。愿余生好好，不负此生！ 
479,愿你们两个都好好的 
480,你会幸福吗？？？ 
481,淡了吧 
482,望 往后余生各自安好 期待新作！ 
483,不知道为啥，为你感到高兴，虽然大家都嘲笑讽刺，但是你是我最喜欢的中国男演员，最喜欢的电影是失恋33天 
484,相濡以沫，不如相忘于江湖 
485,破镜难重圆 
486,你们的任性终结了我对爱情和幸福的信任！不点赞。。。 
487,余生漫漫，各生欢喜。任忍不住一声叹息…… 
488,回复@电動马达哟:直击内心，深有感触，岁月静好，你好就好 
489,你可能不是个好丈夫 但一定是个好演员 
490,还是很喜欢你 
491,一直以为你们会走下去 
492,祝福以后一切都好 
493,一别两宽 这句话听起来多无奈啊…… 
494,一直觉得你特别爷们儿！特别喜欢你，演技无敌了，期待你的好作品。 
495,爱恨之后，聚散两别。希望此后各自无怨。因为曾经的真爱付出，也给孩子一个好好的父亲形象 
496,永远爱你 
497,华为安排明明白白 
498,一如既往支持你 
499,回复@电動马达哟:爱，就深爱。却又分手，舍得么？ 
500,回复@电動马达哟:爱，就深爱。却又分手，舍得么？ 
501,放手去爱吧 
502,爱情难道真的是有保质期的！！！ 
